File name: 1064_1.txt, Given class: neg, Original Class: neg

File name: 12016_2.txt, Given class: neg, Original Class: neg

File name: 5370_2.txt, Given class: neg, Original Class: neg

File name: 2200_2.txt, Given class: neg, Original Class: neg

File name: 7862_1.txt, Given class: neg, Original Class: neg

File name: 3487_2.txt, Given class: neg, Original Class: neg

File name: 8367_4.txt, Given class: neg, Original Class: neg

File name: 1493_4.txt, Given class: neg, Original Class: neg

File name: 6604_1.txt, Given class: neg, Original Class: neg

File name: 11125_3.txt, Given class: neg, Original Class: neg

File name: 5293_4.txt, Given class: neg, Original Class: neg

File name: 5482_2.txt, Given class: neg, Original Class: neg

File name: 12075_3.txt, Given class: neg, Original Class: neg

File name: 8089_1.txt, Given class: neg, Original Class: neg

File name: 7984_2.txt, Given class: neg, Original Class: neg

File name: 5026_3.txt, Given class: neg, Original Class: neg

File name: 8922_3.txt, Given class: neg, Original Class: neg

File name: 11612_1.txt, Given class: neg, Original Class: neg

File name: 11706_2.txt, Given class: neg, Original Class: neg

File name: 11514_1.txt, Given class: neg, Original Class: neg

File name: 813_1.txt, Given class: neg, Original Class: neg

File name: 239_2.txt, Given class: neg, Original Class: neg

File name: 8537_1.txt, Given class: neg, Original Class: neg

File name: 2798_2.txt, Given class: neg, Original Class: neg

File name: 4812_1.txt, Given class: neg, Original Class: neg

File name: 8077_1.txt, Given class: neg, Original Class: neg

File name: 5775_3.txt, Given class: neg, Original Class: neg

File name: 10421_4.txt, Given class: neg, Original Class: neg

File name: 7871_1.txt, Given class: neg, Original Class: neg

File name: 11880_3.txt, Given class: neg, Original Class: neg

File name: 2359_3.txt, Given class: neg, Original Class: neg

File name: 8978_4.txt, Given class: neg, Original Class: neg

File name: 1112_3.txt, Given class: neg, Original Class: neg

File name: 7727_4.txt, Given class: neg, Original Class: neg

File name: 9617_4.txt, Given class: neg, Original Class: neg

File name: 10422_3.txt, Given class: neg, Original Class: neg

File name: 12033_1.txt, Given class: neg, Original Class: neg

File name: 11748_1.txt, Given class: neg, Original Class: neg

File name: 10465_3.txt, Given class: neg, Original Class: neg

File name: 5306_1.txt, Given class: neg, Original Class: neg

File name: 6650_1.txt, Given class: neg, Original Class: neg

File name: 11202_1.txt, Given class: neg, Original Class: neg

File name: 1536_3.txt, Given class: neg, Original Class: neg

File name: 6142_2.txt, Given class: neg, Original Class: neg

File name: 6354_2.txt, Given class: neg, Original Class: neg

File name: 6998_1.txt, Given class: neg, Original Class: neg

File name: 132_1.txt, Given class: neg, Original Class: neg

File name: 8303_4.txt, Given class: neg, Original Class: neg

File name: 3449_1.txt, Given class: neg, Original Class: neg

File name: 12188_3.txt, Given class: neg, Original Class: neg

File name: 2455_4.txt, Given class: neg, Original Class: neg

File name: 4425_3.txt, Given class: neg, Original Class: neg

File name: 1222_2.txt, Given class: neg, Original Class: neg

File name: 8824_4.txt, Given class: neg, Original Class: neg

File name: 9925_3.txt, Given class: neg, Original Class: neg

File name: 602_1.txt, Given class: neg, Original Class: neg

File name: 3870_1.txt, Given class: pos, Original Class: neg

File name: 1639_1.txt, Given class: neg, Original Class: neg

File name: 2833_2.txt, Given class: neg, Original Class: neg

File name: 12136_4.txt, Given class: neg, Original Class: neg

File name: 156_3.txt, Given class: pos, Original Class: neg

File name: 10592_1.txt, Given class: neg, Original Class: neg

File name: 4382_3.txt, Given class: neg, Original Class: neg

File name: 3991_4.txt, Given class: neg, Original Class: neg

File name: 1331_1.txt, Given class: neg, Original Class: neg

File name: 1891_4.txt, Given class: neg, Original Class: neg

File name: 11950_3.txt, Given class: pos, Original Class: neg

File name: 7490_3.txt, Given class: neg, Original Class: neg

File name: 801_2.txt, Given class: neg, Original Class: neg

File name: 1687_4.txt, Given class: neg, Original Class: neg

File name: 4040_2.txt, Given class: neg, Original Class: neg

File name: 7726_3.txt, Given class: neg, Original Class: neg

File name: 1361_3.txt, Given class: neg, Original Class: neg

File name: 4986_3.txt, Given class: neg, Original Class: neg

File name: 11728_2.txt, Given class: pos, Original Class: neg

File name: 403_1.txt, Given class: neg, Original Class: neg

File name: 7003_1.txt, Given class: neg, Original Class: neg

File name: 2925_2.txt, Given class: neg, Original Class: neg

File name: 6176_4.txt, Given class: neg, Original Class: neg

File name: 10940_1.txt, Given class: neg, Original Class: neg

File name: 2128_3.txt, Given class: neg, Original Class: neg

File name: 3263_3.txt, Given class: neg, Original Class: neg

File name: 2594_3.txt, Given class: neg, Original Class: neg

File name: 7156_4.txt, Given class: neg, Original Class: neg

File name: 7799_2.txt, Given class: neg, Original Class: neg

File name: 2418_2.txt, Given class: neg, Original Class: neg

File name: 5637_2.txt, Given class: neg, Original Class: neg

File name: 9312_1.txt, Given class: neg, Original Class: neg

File name: 11587_2.txt, Given class: neg, Original Class: neg

File name: 7933_1.txt, Given class: neg, Original Class: neg

File name: 3638_4.txt, Given class: neg, Original Class: neg

File name: 5766_1.txt, Given class: neg, Original Class: neg

File name: 2250_1.txt, Given class: neg, Original Class: neg

File name: 1021_2.txt, Given class: neg, Original Class: neg

File name: 8780_1.txt, Given class: neg, Original Class: neg

File name: 4359_1.txt, Given class: neg, Original Class: neg

File name: 9634_4.txt, Given class: pos, Original Class: neg

File name: 11029_3.txt, Given class: neg, Original Class: neg

File name: 3150_1.txt, Given class: neg, Original Class: neg

File name: 12486_1.txt, Given class: neg, Original Class: neg

File name: 3320_4.txt, Given class: neg, Original Class: neg

File name: 4200_1.txt, Given class: neg, Original Class: neg

File name: 8544_4.txt, Given class: neg, Original Class: neg

File name: 7598_2.txt, Given class: neg, Original Class: neg

File name: 421_1.txt, Given class: neg, Original Class: neg

File name: 5807_1.txt, Given class: neg, Original Class: neg

File name: 12344_4.txt, Given class: pos, Original Class: neg

File name: 3921_3.txt, Given class: neg, Original Class: neg

File name: 11451_1.txt, Given class: pos, Original Class: neg

File name: 4980_1.txt, Given class: neg, Original Class: neg

File name: 4727_1.txt, Given class: neg, Original Class: neg

File name: 9810_1.txt, Given class: neg, Original Class: neg

File name: 10838_2.txt, Given class: neg, Original Class: neg

File name: 3427_4.txt, Given class: neg, Original Class: neg

File name: 7422_1.txt, Given class: neg, Original Class: neg

File name: 9727_2.txt, Given class: neg, Original Class: neg

File name: 2464_4.txt, Given class: neg, Original Class: neg

File name: 11887_2.txt, Given class: neg, Original Class: neg

File name: 2831_1.txt, Given class: neg, Original Class: neg

File name: 11787_4.txt, Given class: neg, Original Class: neg

File name: 3186_1.txt, Given class: neg, Original Class: neg

File name: 8575_2.txt, Given class: neg, Original Class: neg

File name: 6817_2.txt, Given class: neg, Original Class: neg

File name: 5641_1.txt, Given class: neg, Original Class: neg

File name: 1118_1.txt, Given class: neg, Original Class: neg

File name: 11614_4.txt, Given class: neg, Original Class: neg

File name: 3334_1.txt, Given class: neg, Original Class: neg

File name: 6753_1.txt, Given class: neg, Original Class: neg

File name: 10709_3.txt, Given class: neg, Original Class: neg

File name: 8977_4.txt, Given class: neg, Original Class: neg

File name: 1437_1.txt, Given class: neg, Original Class: neg

File name: 10401_1.txt, Given class: neg, Original Class: neg

File name: 10001_1.txt, Given class: neg, Original Class: neg

File name: 11558_3.txt, Given class: neg, Original Class: neg

File name: 2462_2.txt, Given class: neg, Original Class: neg

File name: 8405_2.txt, Given class: pos, Original Class: neg

File name: 11633_2.txt, Given class: neg, Original Class: neg

File name: 5557_3.txt, Given class: neg, Original Class: neg

File name: 10557_3.txt, Given class: neg, Original Class: neg

File name: 7331_1.txt, Given class: neg, Original Class: neg

File name: 11290_2.txt, Given class: neg, Original Class: neg

File name: 5383_3.txt, Given class: neg, Original Class: neg

File name: 11836_3.txt, Given class: neg, Original Class: neg

File name: 8379_3.txt, Given class: neg, Original Class: neg

File name: 9002_1.txt, Given class: neg, Original Class: neg

File name: 7664_1.txt, Given class: neg, Original Class: neg

File name: 12402_3.txt, Given class: neg, Original Class: neg

File name: 2107_3.txt, Given class: neg, Original Class: neg

File name: 4483_2.txt, Given class: neg, Original Class: neg

File name: 4539_3.txt, Given class: neg, Original Class: neg

File name: 94_2.txt, Given class: neg, Original Class: neg

File name: 9123_3.txt, Given class: neg, Original Class: neg

File name: 9258_1.txt, Given class: neg, Original Class: neg

File name: 8242_4.txt, Given class: pos, Original Class: neg

File name: 6001_3.txt, Given class: neg, Original Class: neg

File name: 11046_1.txt, Given class: neg, Original Class: neg

File name: 3340_1.txt, Given class: neg, Original Class: neg

File name: 3668_2.txt, Given class: neg, Original Class: neg

File name: 284_2.txt, Given class: neg, Original Class: neg

File name: 1027_4.txt, Given class: pos, Original Class: neg

File name: 10403_4.txt, Given class: neg, Original Class: neg

File name: 7352_3.txt, Given class: neg, Original Class: neg

File name: 8817_1.txt, Given class: neg, Original Class: neg

File name: 10903_1.txt, Given class: neg, Original Class: neg

File name: 3174_1.txt, Given class: neg, Original Class: neg

File name: 8215_3.txt, Given class: neg, Original Class: neg

File name: 9106_1.txt, Given class: neg, Original Class: neg

File name: 5700_1.txt, Given class: neg, Original Class: neg

File name: 8731_4.txt, Given class: neg, Original Class: neg

File name: 179_1.txt, Given class: neg, Original Class: neg

File name: 11645_1.txt, Given class: neg, Original Class: neg

File name: 8186_4.txt, Given class: neg, Original Class: neg

File name: 6720_2.txt, Given class: neg, Original Class: neg

File name: 4378_4.txt, Given class: neg, Original Class: neg

File name: 2731_4.txt, Given class: neg, Original Class: neg

File name: 3642_1.txt, Given class: neg, Original Class: neg

File name: 6061_4.txt, Given class: neg, Original Class: neg

File name: 9722_4.txt, Given class: neg, Original Class: neg

File name: 6631_2.txt, Given class: neg, Original Class: neg

File name: 4649_1.txt, Given class: neg, Original Class: neg

File name: 9765_1.txt, Given class: neg, Original Class: neg

File name: 5135_2.txt, Given class: neg, Original Class: neg

File name: 11660_4.txt, Given class: neg, Original Class: neg

File name: 6685_1.txt, Given class: neg, Original Class: neg

File name: 9065_4.txt, Given class: neg, Original Class: neg

File name: 12096_1.txt, Given class: neg, Original Class: neg

File name: 8898_2.txt, Given class: neg, Original Class: neg

File name: 4470_4.txt, Given class: neg, Original Class: neg

File name: 2029_2.txt, Given class: neg, Original Class: neg

File name: 1816_4.txt, Given class: pos, Original Class: neg

File name: 11258_2.txt, Given class: neg, Original Class: neg

File name: 12241_2.txt, Given class: neg, Original Class: neg

File name: 465_4.txt, Given class: neg, Original Class: neg

File name: 10810_2.txt, Given class: neg, Original Class: neg

File name: 3791_1.txt, Given class: neg, Original Class: neg

File name: 5932_1.txt, Given class: pos, Original Class: neg

File name: 6266_4.txt, Given class: neg, Original Class: neg

File name: 676_1.txt, Given class: neg, Original Class: neg

File name: 4354_3.txt, Given class: neg, Original Class: neg

File name: 11646_1.txt, Given class: neg, Original Class: neg

File name: 9508_1.txt, Given class: neg, Original Class: neg

File name: 1744_1.txt, Given class: neg, Original Class: neg

File name: 3243_1.txt, Given class: neg, Original Class: neg

File name: 8674_1.txt, Given class: neg, Original Class: neg

File name: 2117_4.txt, Given class: pos, Original Class: neg

File name: 3317_1.txt, Given class: neg, Original Class: neg

File name: 3694_3.txt, Given class: neg, Original Class: neg

File name: 2869_3.txt, Given class: neg, Original Class: neg

File name: 10644_1.txt, Given class: neg, Original Class: neg

File name: 3314_1.txt, Given class: neg, Original Class: neg

File name: 7760_2.txt, Given class: neg, Original Class: neg

File name: 12076_2.txt, Given class: neg, Original Class: neg

File name: 5283_2.txt, Given class: neg, Original Class: neg

File name: 5966_4.txt, Given class: neg, Original Class: neg

File name: 8994_1.txt, Given class: neg, Original Class: neg

File name: 6955_4.txt, Given class: neg, Original Class: neg

File name: 7987_1.txt, Given class: neg, Original Class: neg

File name: 10552_4.txt, Given class: neg, Original Class: neg

File name: 10065_1.txt, Given class: neg, Original Class: neg

File name: 3664_3.txt, Given class: neg, Original Class: neg

File name: 10710_1.txt, Given class: neg, Original Class: neg

File name: 1758_2.txt, Given class: neg, Original Class: neg

File name: 1676_4.txt, Given class: neg, Original Class: neg

File name: 2001_1.txt, Given class: neg, Original Class: neg

File name: 691_2.txt, Given class: neg, Original Class: neg

File name: 11438_4.txt, Given class: neg, Original Class: neg

File name: 6055_1.txt, Given class: neg, Original Class: neg

File name: 1483_3.txt, Given class: neg, Original Class: neg

File name: 9027_1.txt, Given class: neg, Original Class: neg

File name: 6293_3.txt, Given class: pos, Original Class: neg

File name: 498_1.txt, Given class: neg, Original Class: neg

File name: 335_2.txt, Given class: neg, Original Class: neg

File name: 11187_1.txt, Given class: neg, Original Class: neg

File name: 2994_1.txt, Given class: neg, Original Class: neg

File name: 7136_3.txt, Given class: neg, Original Class: neg

File name: 6779_1.txt, Given class: neg, Original Class: neg

File name: 11992_1.txt, Given class: neg, Original Class: neg

File name: 4837_4.txt, Given class: neg, Original Class: neg

File name: 8171_1.txt, Given class: neg, Original Class: neg

File name: 4114_2.txt, Given class: neg, Original Class: neg

File name: 2126_1.txt, Given class: neg, Original Class: neg

File name: 5769_1.txt, Given class: neg, Original Class: neg

File name: 1026_2.txt, Given class: neg, Original Class: neg

File name: 12055_1.txt, Given class: neg, Original Class: neg

File name: 6517_3.txt, Given class: neg, Original Class: neg

File name: 2812_4.txt, Given class: neg, Original Class: neg

File name: 11403_1.txt, Given class: neg, Original Class: neg

File name: 8222_1.txt, Given class: neg, Original Class: neg

File name: 9911_1.txt, Given class: neg, Original Class: neg

File name: 7048_3.txt, Given class: neg, Original Class: neg

File name: 8450_1.txt, Given class: neg, Original Class: neg

File name: 3917_2.txt, Given class: neg, Original Class: neg

File name: 9251_2.txt, Given class: neg, Original Class: neg

File name: 240_4.txt, Given class: pos, Original Class: neg

File name: 10624_1.txt, Given class: neg, Original Class: neg

File name: 4536_3.txt, Given class: neg, Original Class: neg

File name: 3685_3.txt, Given class: neg, Original Class: neg

File name: 3169_4.txt, Given class: neg, Original Class: neg

File name: 8074_4.txt, Given class: pos, Original Class: neg

File name: 10724_1.txt, Given class: neg, Original Class: neg

File name: 4221_3.txt, Given class: neg, Original Class: neg

File name: 2654_2.txt, Given class: neg, Original Class: neg

File name: 2061_4.txt, Given class: neg, Original Class: neg

File name: 2247_1.txt, Given class: neg, Original Class: neg

File name: 3757_3.txt, Given class: pos, Original Class: neg

File name: 6662_2.txt, Given class: neg, Original Class: neg

File name: 4688_3.txt, Given class: neg, Original Class: neg

File name: 10202_4.txt, Given class: neg, Original Class: neg

File name: 10222_1.txt, Given class: neg, Original Class: neg

File name: 4058_3.txt, Given class: neg, Original Class: neg

File name: 3710_2.txt, Given class: neg, Original Class: neg

File name: 3763_2.txt, Given class: neg, Original Class: neg

File name: 10161_1.txt, Given class: neg, Original Class: neg

File name: 2928_1.txt, Given class: neg, Original Class: neg

File name: 126_4.txt, Given class: neg, Original Class: neg

File name: 2230_4.txt, Given class: neg, Original Class: neg

File name: 7514_1.txt, Given class: neg, Original Class: neg

File name: 11296_1.txt, Given class: neg, Original Class: neg

File name: 354_4.txt, Given class: pos, Original Class: neg

File name: 9118_1.txt, Given class: neg, Original Class: neg

