File name: 1135_8.txt, Given class: pos, Original Class: pos
File name: 7661_9.txt, Given class: pos, Original Class: pos

File name: 5366_10.txt, Given class: pos, Original Class: pos

File name: 3933_7.txt, Given class: pos, Original Class: pos

File name: 4357_10.txt, Given class: pos, Original Class: pos

File name: 11885_9.txt, Given class: pos, Original Class: pos

File name: 11672_8.txt, Given class: pos, Original Class: pos

File name: 9502_10.txt, Given class: pos, Original Class: pos

File name: 12343_7.txt, Given class: pos, Original Class: pos

File name: 9306_8.txt, Given class: pos, Original Class: pos

File name: 5634_8.txt, Given class: pos, Original Class: pos

File name: 8480_10.txt, Given class: pos, Original Class: pos

File name: 6697_7.txt, Given class: neg, Original Class: pos

File name: 8461_7.txt, Given class: pos, Original Class: pos

File name: 1403_7.txt, Given class: pos, Original Class: pos

File name: 2951_10.txt, Given class: neg, Original Class: pos

File name: 3154_10.txt, Given class: pos, Original Class: pos

File name: 11614_9.txt, Given class: pos, Original Class: pos

File name: 4827_7.txt, Given class: neg, Original Class: pos

File name: 5452_8.txt, Given class: pos, Original Class: pos

File name: 5023_7.txt, Given class: pos, Original Class: pos

File name: 9291_10.txt, Given class: pos, Original Class: pos

File name: 5139_9.txt, Given class: pos, Original Class: pos

File name: 4409_10.txt, Given class: pos, Original Class: pos

File name: 5025_8.txt, Given class: pos, Original Class: pos

File name: 11486_8.txt, Given class: pos, Original Class: pos

File name: 4300_10.txt, Given class: pos, Original Class: pos

File name: 1725_9.txt, Given class: pos, Original Class: pos

File name: 9316_7.txt, Given class: neg, Original Class: pos

File name: 8214_7.txt, Given class: pos, Original Class: pos

File name: 7674_9.txt, Given class: pos, Original Class: pos

File name: 10042_8.txt, Given class: pos, Original Class: pos

File name: 6981_7.txt, Given class: neg, Original Class: pos

File name: 7349_10.txt, Given class: pos, Original Class: pos

File name: 7808_9.txt, Given class: neg, Original Class: pos

File name: 6040_8.txt, Given class: pos, Original Class: pos

File name: 4676_8.txt, Given class: pos, Original Class: pos

File name: 4886_8.txt, Given class: pos, Original Class: pos

File name: 12032_7.txt, Given class: neg, Original Class: pos

File name: 9442_8.txt, Given class: pos, Original Class: pos

File name: 1856_7.txt, Given class: neg, Original Class: pos

File name: 2949_10.txt, Given class: pos, Original Class: pos

File name: 12256_9.txt, Given class: pos, Original Class: pos

File name: 3063_10.txt, Given class: pos, Original Class: pos

File name: 5787_8.txt, Given class: pos, Original Class: pos

File name: 11166_10.txt, Given class: pos, Original Class: pos

File name: 7207_9.txt, Given class: pos, Original Class: pos

File name: 11993_10.txt, Given class: neg, Original Class: pos

File name: 8366_7.txt, Given class: pos, Original Class: pos

File name: 3821_10.txt, Given class: neg, Original Class: pos

File name: 6784_7.txt, Given class: pos, Original Class: pos

File name: 1839_8.txt, Given class: pos, Original Class: pos

File name: 8350_10.txt, Given class: pos, Original Class: pos

File name: 8086_9.txt, Given class: pos, Original Class: pos

File name: 4458_7.txt, Given class: neg, Original Class: pos

File name: 7959_10.txt, Given class: pos, Original Class: pos

File name: 2667_10.txt, Given class: pos, Original Class: pos

File name: 11244_8.txt, Given class: neg, Original Class: pos

File name: 10952_10.txt, Given class: pos, Original Class: pos

File name: 7788_10.txt, Given class: pos, Original Class: pos

File name: 12187_8.txt, Given class: neg, Original Class: pos

File name: 7710_8.txt, Given class: pos, Original Class: pos

File name: 587_8.txt, Given class: pos, Original Class: pos

File name: 1108_8.txt, Given class: neg, Original Class: pos

File name: 6642_9.txt, Given class: pos, Original Class: pos

File name: 10190_10.txt, Given class: neg, Original Class: pos

File name: 9888_8.txt, Given class: pos, Original Class: pos

File name: 3032_9.txt, Given class: pos, Original Class: pos

File name: 7265_7.txt, Given class: pos, Original Class: pos

File name: 11814_10.txt, Given class: pos, Original Class: pos

File name: 9850_8.txt, Given class: pos, Original Class: pos

File name: 3059_8.txt, Given class: neg, Original Class: pos

File name: 833_7.txt, Given class: neg, Original Class: pos

File name: 12200_10.txt, Given class: neg, Original Class: pos

File name: 9920_8.txt, Given class: pos, Original Class: pos

File name: 7333_10.txt, Given class: pos, Original Class: pos

File name: 7264_8.txt, Given class: pos, Original Class: pos

File name: 30_9.txt, Given class: pos, Original Class: pos

File name: 12243_10.txt, Given class: pos, Original Class: pos

File name: 5323_9.txt, Given class: neg, Original Class: pos

File name: 11080_10.txt, Given class: neg, Original Class: pos

File name: 7385_8.txt, Given class: neg, Original Class: pos

File name: 6382_10.txt, Given class: pos, Original Class: pos

File name: 2866_9.txt, Given class: neg, Original Class: pos

File name: 6612_8.txt, Given class: neg, Original Class: pos

File name: 11904_8.txt, Given class: pos, Original Class: pos

File name: 11403_9.txt, Given class: neg, Original Class: pos

File name: 10691_10.txt, Given class: pos, Original Class: pos

File name: 1539_10.txt, Given class: pos, Original Class: pos

File name: 8414_10.txt, Given class: pos, Original Class: pos

File name: 4839_7.txt, Given class: pos, Original Class: pos

File name: 3990_10.txt, Given class: pos, Original Class: pos

File name: 7811_10.txt, Given class: pos, Original Class: pos

File name: 6979_10.txt, Given class: pos, Original Class: pos

File name: 4622_8.txt, Given class: neg, Original Class: pos

File name: 6202_7.txt, Given class: neg, Original Class: pos

File name: 4288_8.txt, Given class: pos, Original Class: pos

File name: 402_8.txt, Given class: pos, Original Class: pos

File name: 9353_8.txt, Given class: pos, Original Class: pos

File name: 4293_7.txt, Given class: pos, Original Class: pos

File name: 8878_10.txt, Given class: pos, Original Class: pos

File name: 3858_10.txt, Given class: neg, Original Class: pos

File name: 9863_10.txt, Given class: neg, Original Class: pos

File name: 8773_8.txt, Given class: pos, Original Class: pos

File name: 12239_7.txt, Given class: neg, Original Class: pos

File name: 7257_8.txt, Given class: pos, Original Class: pos

File name: 9359_9.txt, Given class: pos, Original Class: pos

File name: 1473_7.txt, Given class: neg, Original Class: pos

File name: 4061_9.txt, Given class: pos, Original Class: pos

File name: 7650_8.txt, Given class: neg, Original Class: pos

File name: 3707_10.txt, Given class: pos, Original Class: pos

File name: 10507_7.txt, Given class: neg, Original Class: pos

File name: 3337_7.txt, Given class: pos, Original Class: pos

File name: 2597_10.txt, Given class: neg, Original Class: pos

File name: 1852_10.txt, Given class: pos, Original Class: pos

File name: 7543_10.txt, Given class: neg, Original Class: pos

File name: 8830_9.txt, Given class: pos, Original Class: pos

File name: 10959_8.txt, Given class: pos, Original Class: pos

File name: 12431_8.txt, Given class: neg, Original Class: pos

File name: 11108_10.txt, Given class: pos, Original Class: pos

File name: 11932_10.txt, Given class: pos, Original Class: pos

File name: 11064_8.txt, Given class: pos, Original Class: pos

File name: 3018_9.txt, Given class: pos, Original Class: pos

File name: 131_7.txt, Given class: pos, Original Class: pos

File name: 3228_7.txt, Given class: pos, Original Class: pos

File name: 10155_7.txt, Given class: neg, Original Class: pos

File name: 9608_8.txt, Given class: pos, Original Class: pos

File name: 6504_9.txt, Given class: pos, Original Class: pos

File name: 10115_8.txt, Given class: pos, Original Class: pos

File name: 4746_9.txt, Given class: pos, Original Class: pos

File name: 1081_10.txt, Given class: pos, Original Class: pos

File name: 6321_9.txt, Given class: pos, Original Class: pos

File name: 3392_10.txt, Given class: pos, Original Class: pos

File name: 8511_8.txt, Given class: neg, Original Class: pos

File name: 9774_10.txt, Given class: pos, Original Class: pos

File name: 459_9.txt, Given class: neg, Original Class: pos

File name: 2885_9.txt, Given class: pos, Original Class: pos

File name: 10009_10.txt, Given class: neg, Original Class: pos

File name: 2186_10.txt, Given class: pos, Original Class: pos

File name: 7590_7.txt, Given class: pos, Original Class: pos

File name: 11646_8.txt, Given class: pos, Original Class: pos

File name: 3929_8.txt, Given class: pos, Original Class: pos

File name: 205_10.txt, Given class: pos, Original Class: pos

File name: 10621_10.txt, Given class: pos, Original Class: pos

File name: 8657_7.txt, Given class: pos, Original Class: pos

File name: 10666_10.txt, Given class: pos, Original Class: pos

File name: 310_9.txt, Given class: pos, Original Class: pos

File name: 5857_7.txt, Given class: neg, Original Class: pos

File name: 1415_9.txt, Given class: pos, Original Class: pos

File name: 4952_10.txt, Given class: pos, Original Class: pos

File name: 10218_7.txt, Given class: neg, Original Class: pos

File name: 904_10.txt, Given class: neg, Original Class: pos

File name: 4175_7.txt, Given class: pos, Original Class: pos

File name: 11517_8.txt, Given class: pos, Original Class: pos

File name: 6469_7.txt, Given class: pos, Original Class: pos

File name: 9748_9.txt, Given class: pos, Original Class: pos

File name: 5915_8.txt, Given class: pos, Original Class: pos

File name: 11991_10.txt, Given class: neg, Original Class: pos

File name: 1013_7.txt, Given class: pos, Original Class: pos

File name: 7038_9.txt, Given class: neg, Original Class: pos

File name: 12050_9.txt, Given class: pos, Original Class: pos

File name: 10297_10.txt, Given class: pos, Original Class: pos

File name: 11867_8.txt, Given class: pos, Original Class: pos

File name: 10288_8.txt, Given class: pos, Original Class: pos

File name: 5183_9.txt, Given class: pos, Original Class: pos

File name: 8884_10.txt, Given class: neg, Original Class: pos

File name: 5654_10.txt, Given class: pos, Original Class: pos

File name: 11944_8.txt, Given class: neg, Original Class: pos

File name: 4187_7.txt, Given class: neg, Original Class: pos

File name: 7093_10.txt, Given class: pos, Original Class: pos

File name: 217_8.txt, Given class: neg, Original Class: pos

File name: 10112_10.txt, Given class: pos, Original Class: pos

File name: 7652_10.txt, Given class: pos, Original Class: pos

File name: 10011_9.txt, Given class: pos, Original Class: pos

File name: 6722_10.txt, Given class: pos, Original Class: pos

File name: 8242_10.txt, Given class: pos, Original Class: pos

File name: 5897_10.txt, Given class: pos, Original Class: pos

File name: 3581_10.txt, Given class: neg, Original Class: pos

File name: 8147_10.txt, Given class: pos, Original Class: pos

File name: 1999_7.txt, Given class: neg, Original Class: pos

File name: 11339_9.txt, Given class: pos, Original Class: pos

File name: 12073_10.txt, Given class: pos, Original Class: pos

File name: 10301_10.txt, Given class: pos, Original Class: pos

File name: 3380_8.txt, Given class: pos, Original Class: pos

File name: 5672_7.txt, Given class: neg, Original Class: pos

File name: 11160_7.txt, Given class: neg, Original Class: pos

File name: 2411_8.txt, Given class: neg, Original Class: pos

File name: 3692_10.txt, Given class: pos, Original Class: pos

File name: 4912_10.txt, Given class: neg, Original Class: pos

File name: 5599_10.txt, Given class: pos, Original Class: pos

File name: 10477_9.txt, Given class: pos, Original Class: pos

File name: 11999_8.txt, Given class: neg, Original Class: pos

File name: 11068_10.txt, Given class: pos, Original Class: pos

File name: 702_7.txt, Given class: pos, Original Class: pos

File name: 10370_10.txt, Given class: pos, Original Class: pos

File name: 4971_8.txt, Given class: neg, Original Class: pos

File name: 9734_8.txt, Given class: pos, Original Class: pos

File name: 12280_7.txt, Given class: pos, Original Class: pos

File name: 6441_7.txt, Given class: neg, Original Class: pos

File name: 2914_10.txt, Given class: pos, Original Class: pos

File name: 3776_10.txt, Given class: pos, Original Class: pos

File name: 4102_10.txt, Given class: pos, Original Class: pos

File name: 1728_10.txt, Given class: neg, Original Class: pos

File name: 3938_8.txt, Given class: pos, Original Class: pos

File name: 4635_10.txt, Given class: neg, Original Class: pos

File name: 10523_9.txt, Given class: pos, Original Class: pos

File name: 4310_10.txt, Given class: pos, Original Class: pos

File name: 5226_7.txt, Given class: pos, Original Class: pos

File name: 5016_8.txt, Given class: neg, Original Class: pos

File name: 1768_8.txt, Given class: pos, Original Class: pos

File name: 3324_9.txt, Given class: neg, Original Class: pos

File name: 8644_10.txt, Given class: pos, Original Class: pos

File name: 10401_7.txt, Given class: neg, Original Class: pos

File name: 3595_10.txt, Given class: pos, Original Class: pos

File name: 4899_9.txt, Given class: pos, Original Class: pos

File name: 10886_7.txt, Given class: neg, Original Class: pos

File name: 7181_9.txt, Given class: pos, Original Class: pos

File name: 8118_9.txt, Given class: neg, Original Class: pos

File name: 798_10.txt, Given class: pos, Original Class: pos

File name: 10315_10.txt, Given class: pos, Original Class: pos

File name: 8101_8.txt, Given class: pos, Original Class: pos

File name: 2822_9.txt, Given class: neg, Original Class: pos

File name: 2259_9.txt, Given class: pos, Original Class: pos

File name: 2385_9.txt, Given class: pos, Original Class: pos

File name: 3778_9.txt, Given class: pos, Original Class: pos

File name: 11905_10.txt, Given class: pos, Original Class: pos

File name: 5765_7.txt, Given class: pos, Original Class: pos

File name: 4903_7.txt, Given class: pos, Original Class: pos

File name: 69_10.txt, Given class: pos, Original Class: pos

File name: 3026_10.txt, Given class: neg, Original Class: pos

File name: 3647_10.txt, Given class: neg, Original Class: pos

File name: 9395_8.txt, Given class: neg, Original Class: pos

File name: 8965_8.txt, Given class: pos, Original Class: pos

File name: 9030_7.txt, Given class: pos, Original Class: pos

File name: 1330_10.txt, Given class: pos, Original Class: pos

File name: 2598_10.txt, Given class: pos, Original Class: pos

File name: 2662_10.txt, Given class: pos, Original Class: pos

File name: 10880_10.txt, Given class: pos, Original Class: pos

File name: 4905_9.txt, Given class: pos, Original Class: pos

File name: 7588_10.txt, Given class: pos, Original Class: pos

File name: 4154_8.txt, Given class: pos, Original Class: pos

File name: 8512_10.txt, Given class: neg, Original Class: pos

File name: 872_9.txt, Given class: pos, Original Class: pos

File name: 757_9.txt, Given class: neg, Original Class: pos

File name: 6577_10.txt, Given class: pos, Original Class: pos

File name: 9004_8.txt, Given class: pos, Original Class: pos

File name: 4552_8.txt, Given class: pos, Original Class: pos

File name: 10578_10.txt, Given class: pos, Original Class: pos

File name: 7908_7.txt, Given class: pos, Original Class: pos

File name: 1039_10.txt, Given class: pos, Original Class: pos

File name: 7758_8.txt, Given class: pos, Original Class: pos

File name: 2712_8.txt, Given class: pos, Original Class: pos

File name: 7433_10.txt, Given class: neg, Original Class: pos

File name: 108_10.txt, Given class: pos, Original Class: pos

File name: 5761_10.txt, Given class: pos, Original Class: pos

File name: 6330_10.txt, Given class: pos, Original Class: pos

File name: 1542_7.txt, Given class: neg, Original Class: pos

File name: 12069_10.txt, Given class: pos, Original Class: pos

File name: 3301_8.txt, Given class: pos, Original Class: pos

